id,codice_archivio,tipologia,titolo,sottotitolo,prima_responsabilita,altre_responsabilita,luogo,edizione,ente,serie,anno,descrizione,cdd,soggetto,note
359,1993.05,LIBRO,L’antifascismo senese,"Nei documenti della polizia e del Tribunale speciale, 1926-1943",Rineo Cirri,,Siena,Nuova Immagine,,"Siena contemporanea - Quaderni dell'Asmos, n. 1",1993,122 p. ; 25 cm,945.580915,  Siena - Storia - Fonti archivistiche - Antifascismo,"Dalla Serie : Siena contemporanea, Quaderni dell’ASMOS ; 0001"
300,1985.03,LIBRO,Bestiario italiano,,Bruno Caruso,,Siena,Lombardi,,,1985,62 p. :  ill. ; 28 cm,759.5, Bruno  Caruso - Esposizioni,Catalogo dell'omonima mostra presso i magazzini del Sale 22 Maggio- 3 Luglio 1985. Con uno scritto di Mauro Civai
86,1961.01,LIBRO,"Cecco Angiolieri, Quinto Settano e Girolamo Gigli","Conferenza del poeta senese Arrigo Pecchioli nella giornata dei senesi e grossetani in Roma, 8 dicembre 1960",Arrigo Pecchioli,,Siena,Tipografia Senese,,I quaderni de Il Campo di Siena,1961,13 p. ; 21 cm,851.1, Cecco Angiolieri - Quinto Settano -  Girolamo Gigli,
80,1896.03,LIBRO,I pensieri sull'arte e ricordi autobiografici di Giovanni Duprè,Conferenza tenuta il 28 marzo 1896,Orazio Bacci,,Siena,Tip. e Lit. Sordo-Muti di L. lazzeri,,,1896,51 p. ; 19 cm,730.92, Giovanni Duprè,La Contrade possiede due copie di tale opera
223,1917.01,LIBRO,A Giovanni Duprè Siena nel centenario della sua nascita,,Rossi Pietro,"Pignotti Guido, Gallori Emilio",Siena,Tipografia e Litografia Sordomuti ditta Lazzeri,,,1917,92 p. : ill. ; 34 cm,730.924, Giovanni Duprè,"Il volume, rilegato in blossura, è stato pubblicato a cura del comitato senese per le onoranze a Giovanni Duprè, e raccoglie oltre ad una fotografia dell'artista anche 32 tavole delle sue opere più famose"
1091,2004.16,LIBRO,Falsi d’autore,Icilio Federico Joni e la cultura del falso tra Otto e Novecento,Gianni Mazzoni,,Siena,Protagon Editori,Santa Maria della Scala,,2004,247 p. : ill. ; 30 cm,759.5, Icilio Federico Joni - Siena - Esposizioni,"Ristampa anastatica.
L'originale è stato stampato in Siena nel 1819 nella Stamperia Bindi."
1096,1999.14,LIBRO,Tilson,Conjunctions,Joe Tilson,"Mauro Civai, Alessandro Falassi,Marco Pierini",Siena,,Assessorato alla Cultura del Comune di Siena,,1999,71 p. : ill. ; 26x24 cm,759.5, Joe Tilson,
385,1997.09,LIBRO,Pia dè Tolomei,Amore e morte nella Maremma medioevale,Albini Pier Luigi,,Valentano,Scipioni,,,1997,141 p. ; 21 cm,920.72, Pia Dè Tolomei,"Contiene dissertazione critica e relazione di restauro della Trasfigurazione di Girolamo Genga, un capitolo sulla Pieve originaria di San Quirico d' Orcia e uno su Giovanni Antonio Campano, biografo di Pio II Piccolomini.
N° 2 della collana ""Quaderni dell' Opera""."
1828,2002.23,LIBRO,Arte & Alchimia nei Discorsi di P. A. Mattioli,,Claudio Milanesi,,Siena,Terre de Sienne,,,2002,118 p. : ill. ; 22x24 cm,615, Pietro Andrea Mattioli,
1379,1906.01.01,LIBRO,Le fonti di Siena e i loro acquedotti,note storiche dalle origini fino al 1555,Fabio Bargagli Petrucci,,Firenze,Leo S. Olschki,,Vol. I: Testo,1906,"356 p., [30] c. di tav. : ill., 2 c. topogr.",628.150945581, Siena - Storia - Acquedotti,
1378,1906.01.02,LIBRO,Le fonti di Siena e i loro acquedotti,note storiche dalle origini fino al 1555,Fabio Bargagli Petrucci,,Firenze,Leo S. Olschki,,Vol 2: Documenti,1906,604 p. ; 32 cm,628.150945581, Siena - Storia - Acquedotti,
312,2010.15,LIBRO,Vittorio Mariani Architetto e Urbanista 1859 - 1946,Cultura Urbana e Architettonica fra Siena e l'Europa,Maria Antonietta Rovida e Laura Vigni,Maria Luisa Neri,Firenze,Edizioni Polistampa,Comune di Siena e Fondazione Monte dei Paschi,,2010,239 p. : ill. ; 32 cm,720.92, Vittorio Mariani - Architettura,Con dedica al Priore Nicoletta Fabio
1829,1980.17,LIBRO,Le storie di San Benedetto a Monteoliveto Maggiore ,,Enzo Carli,,Milano Siena,Silvana Monte dei paschi di Siena,,,1980,180 p. : in gran parte ill. ; 31 cm,759.558,Abbazia di Monte Oliveto Maggiore ,
1649,1925.03,LIBRO,Da Siena a Monte Oliveto,"guida-ricordo, 5 novembre 1925 : 1625-1925",,,Siena,Stab. arti grafiche S. Bernardino,,,1925,67 p. : ill. ; 23 cm,726.709455854,Abbazia di Monte Oliveto Maggiore - Guide,Pubblicazione edita in copie numerate
10,1980.03,LIBRO,San Galgano,,R. Gilli,,Siena,Edizioni Cantagalli,,,1980,42 p. ; 17 cm,726,Abbazia di San Galgano,"Opuscolo sull'Abbazia di San Galgano. Donato alla Contrada da un gruppo di contradaioli (Alessandro Burrini, Leonardo Buccianti, Giulio Caini, Giacomo Coradeschi, Riccardo Fralassi, Massimo Mazzini, Alessandro Mattioli, Gino Rossi, Marcello Stiaccini, Lorenzo Pagliantini)."
1764,2014.20,LIBRO,"Accademie, che sono state, e che presentemente fioriscono nella città di Siena",,Giovanni Antonio Pecci,a cura di Mario De Gregorio,Siena,Accademia dei Rozzi,,,2014,25 p. : [54] tav. color. ; 23 cm,060,Accademia,
50,1966.01,LIBRO,Accademia dei Rozzi in Siena,Ricordi e Memorie,Liberati Alfredo,,Siena,Tipografia U. Periccioli,,,1966,29 p. ; 22 cm,850.8945581,Accademia dei Rozzi,"Si tratta di una seconda edizione di un estratto dal ""Bullettino Senese di Storia Patria"", Fasc. IV del 1936. Tale pubblicazione vuole celebrare la nascita della Accademia dei Rozzi e la sua plurisecolare tradizione"
978,1966.03,LIBRO,Accademia dei Rozzi in Siena,Ricordi e Memorie,Alfredo Liberati,,Siena,Tipografia U. Periccioli,,,1966,"29 p., [6] c. di tav. : ill. ; 22cm",065.581,Accademia dei Rozzi,"Estratto dal ""Bullettino Senese di Storia Patria"" N.S. Anno VII. 1936 fascicolo IV"
670,1868.01,LIBRO,Primo e secondo concorso drammatico (1866 e 1867),,Accademia Generale dei Rozzi di Siena - Sezione Scientifico-letteraria,Luciano Banchi,Siena,Stabilimento Tipografico di A. Mucci,,,1868,28 p. ;  22 cm,852.914,Accademia dei Rozzi - Concorso drammatico ,"all' interno della copertina è presente una nota autografa di Luciano Banchi datata 2 Giugno 1868 in cui si spiega che il 1° premio del concorso drammatico è stato assegnato a …... Albrizi, il 2° premio a Antonio Taddei, il 3° premio a Prospero Maffei"
101,2008.03,LIBRO,La Chigiana di Siena,Guido Chigi Saracini e la sua Accademia Musicale,Guido Burchi,Catoni Giuliano,Ospedaletto (PI),Industrie Grafiche Pacini,,,2008,279 p. Ill. ; 29 cm,780.6045581,Accademia Musicale Chigiana - Storia,
1830,1719.01,LIBRO,"Del Collegio Petroniano delle Balie latine e del solenne suo aprimento in quest'anno 1719 in Siena per dote, e istituto del cardinale Riccardo Petroni a benefizio di tutta la nazione italiana [...]",,Girolamo Gigli ,,Siena,appresso Francesco Quinza,,,1719,64 p. ; 23 cm,,Accademie,"Questo raro volumetto satirico fu scritto per dileggiare i dotti dell'Accademia fiorentina della Crusca, raccontando loro che a Siena vi sono delle balie di origine latina (petronioane) che con il loro latte hanno il potere di trasmettere ai pargoliallattati, una volta sviluppati, la capacità di parlare correttamente la lingua latina. L'incisione con l'architettura del collegio petroniano opera di Baldassarre Peruzzi, inesistente, è inserita per ringorzare ancor di più la presa in giro. Si indica come autore dell'opera il Carinale Petroni, morto addirittura nel XIV secolo e la cui tomba si trova nel Duomo di Siena. Salvatore Tonci è uno psuedonimo di Girolamo Gigli che a seguito di tale opera (il libro fu messo all'indice e bruciato pubblicamente) fu costretto ad emigrare a Roma."
265,2005.11,LIBRO,L'acqua di Siena,Dai bottini mediovali all'acquedotto del vivo,"Federico Rubegni, Ermanno Vigni, Piero Ligabue",,Sovicille (SI),Arti Grafiche Ticci,Associazione La Diana - Banca Credito Cooperativo Sovicille,,2005,111 p. : Ill. ; 30 cm,741.5945581,Acquedotti - Storia - Fumetti,
983,1992.20,LIBRO,Agostino Fantastici,Architetto senese 1782-1845,Carlo Cresti (a cura di),,Torino,Umberto Allemandi & C.,Comune di Siena,,1992,301 p. : ill. ; 31 cm,720.92,Agostino Fantastici - Esposizioni,Opera pubblicata in occasione della mostra tenutasi a Siena nei magazzini del sale del palazzo Pubblico dal 5 settembre al 15 novembre 1992
1010,1981.08,LIBRO,Burri Opere Grafiche 1959-81,,Cesare Brandi,,Milano,2RC,Assessorato alla Cultura del Comune di Siena,,1981,54 p. :  ill. ; 32 cm,759.5,Alberto Burri - Esposizioni,Catalogo della mostra “Burri – Opere grafiche 1959-81”  tenutasi presso il Palazzo Pubblico di Siena nel 1981.
344,1997.06,LIBRO,Alberto Sani,"storia inedita di uno ""scultore di quadri""",Paolo Cesarini,"Mario Specchio, Alberto Sani",Siena,Lombardi Editore Siena,,,1997,82 p. : ill. ; 21 cm,730.92,Alberto Sani,Ristampa Anastatica del 1906.
1500,2015.08,LIBRO,Il ricordo di Aldo Becatti,,[a cura dell'Arciconfraternita di Santa Caterina da Siena in Roma],,Siena,,,,2015,36 p. : ill. ; 24 cm,,Aldo Becatti,"Catalogo della mostra: Siena, Museo Civico, Sala del Mappamondo, 15giugno-15 settembre 2015 in occasione del 700esimo  della Maestà di Simone Martini"
1765,2015.15,LIBRO,Per Aldo Cairola,scritti e tesimonianze : atti della giornata di studi,"Siena, Palazzo Pubblico, Sala del Concistoro, 18 settembre 2014 / a cura di Felicia Rotundo",,Arcidosso,Effigi,,,2015,153 p. : ill. ; 24 cm,709.2,Aldo Cairola,
1499,1915.02,LIBRO,Il Pittore Alessandro Franchi,notizie biografiche,Narciso Mengozzi,,Siena,Stabilimento Arti Grafiche Lazzeri,,Estratto dal Bullettino Senese di Storia Patria - Anno XXII fasc. 1,1915,105 p. : ill. ; 25 cm,750,Alessandro Franchi,
1558,1915.04,LIBRO,Alessandro Franchi e le sue opere,,,,Siena,Stabilimento Tipografico S. Bernardino,,,1915,"342 p., [1] c. di tav. : ill. ; 24 cm",741.945,Alessandro Franchi,
1586,1872.01,LIBRO,Il Mangia,almanacco senese per l'anno 1872,,,Siena,tip. Sordo-Muti di L. Lazzeri,,anno cento tredicesimo,1872,264 p. ; 14 cm,945.58,Almanacco,"Si tratta di un almanacco che veniva pubblicato a Siena sin dal 1759 e che contiene una guida-elenco dei principali commercianti, industriali e professionisti di Siena"
105,1909.01,LIBRO,Il Mangia,Guida Almanacco Senese,,,,Tipografia Editrice Ditta Luigi Lazzeri,,,1909,387 p.; 15 cm,,Almanacco,"Si tratta di un almanacco che veniva pubblicato a Siena sin dal 1759 e che contiene una guida-elenco dei principali commercianti, industriali e professionisti di Siena"
744,1970.01,LIBRO,Pietro e Ambrogio Lorenzetti,,Enzo Carli,,"Cinisello Balsamo , Milano",Stabilimento d'arti grafiche Amilcare Pizzi,Monte dei Paschi di Siena,,1970,40 p. [26] c. d tav. : ill. ; 37 cm,759.5,Ambrogio Lorenzetti -  Pietro Lorenzetti,
168,2002.03,LIBRO,Pietro e Ambrogio Lorenzetti,,Chiara Frugoni ,"Monciatti Alessio, Donato Maria Monica",Firenze,Le lettere,,,2002,"271 p., : ill. ; 30 cm",759.5,Ambrogio Lorenzetti -  Pietro Lorenzetti,Opera divisa in 4 volumi.
1495,1972.07,LIBRO,La vita di Pietro Andrea Mattioli,raccolta dalle sue opere da Giuseppe Fabiani e pubblicata con aggiunte e annotazioni per cura di Luciano Banchi,Giuseppe Fabiani,,Siena,Tip. dell’Ancora,,,1972,"IX, 83 p., [3] p. di tav. : ill. ; 26 cm",,Andrea Mattioli,Ristampa anastatica edita dall'Università di Siena nel IV centenario della morte di P.A. Mattioli pubblicata nel 1872
1676,2014.18,LIBRO,Angela Collarini,Una donna insegnante nell’epoca dei lumi,Alessandro Leoncini,,Siena,Università di Siena,,,2014,62 p. : ill. ; 24 cm,305.433720945581,Angela Corradini,
357,1994.07,LIBRO,Robe d’estate,,Zazzeroni Antonio,,Siena,Carlo Cambi Editore,,,1994,67 p. ; 24 cm,851.914,Antonio Zazzeroni  - Poesie,
324,1993.03,LIBRO,Cacce e Tatuaggi,Nuovi ragguagli sulle contrade di Siena,Giuliano Catoni,"Alessandro Leoncini , Roberto Barzanti (saggio introduttivo di)",Siena,Protagon Editori Toscani,,,1993,118 p. ; 21 cm,394.26945581,Araldica - Contrade,Nel testo si descrive la festa che si fece in Siena nel 1506 che contiene la descrizione della bandiera e dei costumi della Contrada Sovrana dell'Istrice
285,1995.01.03,LIBRO,L'architettura civile in Toscana,dall'Illuminismo al Novecento,[a cura di Amerigo Restucci],"Giuseppe Cantelli, Paolo Mazzini, Ines Romitti",Milano,Silvana Editoriale,Monte dei Paschi di Siena,,2002,574 p. : ill. ; 33 cm,720.945509033,Architettura - Esposizioni,"Catalogo della mostra tenuta a Siena, dal 28 luglio al 31 agosto 1995"
1804,1993.19,LIBRO,Francesco di Giorgio architetto,,"a cura di Francesco Paolo Fiore, Manfredo Tafuri",,Milano,Electa,,,1993,453 p. : ill. ; 29 cm,720.92,Architettura - Esposizioni,"Edizione ampliata del catalogo della mostra: Siena, Palazzo pubblico, Magazzini del sale, 25 aprile-31 luglio 1993"
1343,1998.20,LIBRO,L'archivio comunale di Siena,inventario della sezione storica,"[a cura di Giuliano Catoni , Stefano Moscadelli]",,Siena,Nuova Immagine,Amministrazione Provinciale di Siena,Inventari degli archivi comunali della provincia di Siena ; 0021,1998,642 p. ; 24 cm,016.35145581,Archivi comunali - Inventari,
1400,1914.02.02,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Libro Terzo a. 1230,[a cura della Direzione del R. Archivio di Stato in Siena],,,Stab. Arti Grafiche Lazzeri,Istituto di Arte e di Storia del Comune di Siena,,,378 p. : ill. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1401,1914.02.03,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Libro Quarto a. 1231,[a cura della Direzione del R. Archivio di Stato in Siena],,Siena,Stab. Arti Grafiche Lazzeri,Istituto di Arte e di Storia del Comune di Siena,,1926,198 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1402,1914.02.04,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Libro Quinto (a. 1236) e Sesto (a. 1246),[a cura della Direzione del R. Archivio di Stato in Siena],,Siena,Stab. Arti Grafiche Lazzeri,Istituto di Arte e di Storia del Comune di Siena,,1929,127 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1403,1914.02.05,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Libro Settimo a. 1246-47,[a cura della Direzione del R. Archivio di Stato in Siena],,Siena,Stab. Arti Grafiche Lazzeri,Istituto di Arte e di Storia del Comune di Siena,,1931,88 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1349,1914.02.06,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Ottavo Libro a. 1248,[a cura della Direzione del R. Archivio di Stato di Siena],,Firenze,Leo S. Olschki Editore,Istituto d'Arte e di Storia del Comune di Siena,,1932,177 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1404,1914.02.07,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Nono Libro a. 1249,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,Istituto di Arte e di Storia del Comune di Siena,,1933,157 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1405,1914.02.08,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Decimo Libro a. 1249-50,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,Istituto di Arte e di Storia del Comune di Siena,,1933,136 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1407,1914.02.09,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Indice Voll. I-X,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,Istituto di Arte e di Storia del Comune di Siena,,1934,272 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1406,1914.02.10,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Undicesimo Libro a. 1251,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,Istituto di Arte e di Storia del Comune di Siena,,1935,132 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1408,1914.02.11,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Dodicesimo libro a. 1251,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,Istituto di Arte e di Storia del Comune di Siena,,1935,140 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1409,1914.02.12,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Tredicesimo libro a. 1252,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,R. Deputazione Toscana di Storia Patria - Sez. Senese ; Istituto di Arte e di Storia del Comune di Siena,,1936,186 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1410,1914.02.13,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Quattordicesimo libro a. 1253,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,R. Deputazione Toscana di Storia Patria - Sez. Senese ; Istituto di Arte e di Storia del Comune di Siena,,1937,193 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1411,1914.02.14,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Quindicesimo libro a. 1253-54,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,R. Deputazione Toscana di Storia Patria - Sez. Senese ; Istituto di Arte e di Storia del Comune di Siena,,1939,205 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1412,1914.02.15,LIBRO,Libri dell’entrata e dell’uscita della Repubblica di Siena detti del Camarlingo e dei quattro Provveditori della Biccherna,Sedicesimo libro a. 1255,[a cura della Direzione del R. Archivio di Stato in Siena],,Firenze,Leo S. Olschki,R. Deputazione Toscana di Storia Patria - Sez. Senese ; Istituto di Arte e di Storia del Comune di Siena,,1940,133 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1413,1914.02.16,LIBRO,Libri dell’entrata e dell’uscita del comune di Siena detti della Biccherna,Libro XVII (1257),[a cura della Direzione del R. Archivio di Stato in Siena],,Siena,Tipografia Cooperativa Ex Combattenti,Reale Accademia Senese degli Intronati ; R. Deputazione Toscana di Storia Patria - Sez. Senese,Fonti di Storia Senese,1942,217 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1414,1914.02.17,LIBRO,Libri dell’entrata e dell’uscita del comune di Siena detti della Biccherna,Libro XVIII (1257 secondo semestre),[a cura di S. Dè Colli],,Siena,Accademia Senese degli Intronati,Accademia Senese degli Intronati,Fonti di Storia Senese,1961,232 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1415,1914.02.18,LIBRO,Libri dell’entrata e dell’uscita del comune di Siena detti della Biccherna,Libro XIX (1258 primo semestre),[a cura di U. Morandi],,Siena,Accademia Senese degli Intronati,Accademia Senese degli Intronati,Fonti di Storia Senese,1963,237 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1416,1914.02.19,LIBRO,Libri dell’entrata e dell’uscita del comune di Siena detti della Biccherna,Libro XX (1258 secondo semestre),[a cura di S. Dè Colli],,Siena,Accademia Senese degli Intronati,Accademia Senese degli Intronati,Fonti di Storia Senese,1965,179 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1417,1914.02.20,LIBRO,Libri dell’entrata e dell’uscita del comune di Siena detti della Biccherna,,[a cura di S. Fineschi],,Siena,Accademia Senese degli Intronati,Accademia Senese degli Intronati,Fonti di Storia Senese,1969,144 p. ; 25 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1789,1928.07,LIBRO,La sala della Mostra e il Museo delle tavolette dipinte della Biccherna e della Gabella / [conservate presso il] R. Archivio di Stato in Siena,,Archivio di Stato di Siena,,Siena,Tip. e lit. Sordomuti ditta L. Lazzeri,,,1928,"84 p., [18] c. di tav. : ill. ; 25 cm",759.5581,Archivi di Stato - Libri della Biccherna,
1725,1914.02.01,LIBRO,Libri dell’entrata e dell’uscita del comune di Siena detti della Biccherna,Libro Primo e Secondo a. 1230,[a cura della Direzione del R. Archivio di Stato in Siena],,Siena,Stabilimento Arti Grafiche Lazzeri,,,1914,322 p. ; 24 cm,016.94558043,Archivi di Stato - Libri della Biccherna,
1726,1914.02.21,LIBRO,Libri dell’entrata e dell’uscita del comune di Siena detti della Biccherna,"Registro 30° (1259, secondo semestre)",[a cura di Giuliano Catoni],,Roma,,,,1970,169 p. ; 34 cm,016.94558043,Archivi di Stato - Libri della Biccherna,"Questo volume edito dal Ministero dell'Interno in collaborazione con l'Accademia Senese degli Intronati che lo pubblica contemporaneamente quale volume XXII della serie ""Libri di Biccherna"""
1800,2008.17,LIBRO,Archivio di Stato di Siena : Museo delle Biccherne,,a  cura di Maria Assunta Ceppari ... [et al.] ; coordinamento scientifico: Carla Zarrilli,,Viterbo,Betagamma Editrice,,Archivi italiani ; 0021,2008,95 p. : ill. ; 22 cm,759.5581,Archivi di Stato - Libri della Biccherna,
239,PER. PAS. 1956.1,RIVISTA,Le sale della Mostra e il Museo delle Tavolette Dipinte Catalogo,,,"De Colli Sandro, Giannelli Giuliana",Archivi di Stato XXIII,Art,,,1956,163 p. [42] c. di tav. : ill. ; 25 cm,907.4,Archivi di Stato - Libri della Biccherna . Museo,
1551,2011.14,LIBRO,I centocinquant' anni dell' Archivio di Stato di Siena,Direttori e ordinamenti,Archivio di Stato di Siena,Patrizia Turrini e Carla Zarrilli ( a cura di ),Siena,Edizioni Cantagalli srl,Ministero per i Beni e le Attività Culturali Direzione Generale per gli Archivi,"Pubblicazioni degli archivi di Stato, Saggi ; n° 100",2011,,026.945581,Archivi di Stato - Storia - Congressi,Distribuzione gratuita
1831,2000.20,LIBRO,L'archivio storico dell'Orfanotrofio S. Marco e delle più antiche istituzioni senesi per l'infanzia povera,inventario a cura di Stefania Barbetti e Anna Mancini,presentazione di Giulio Sapelli,"contributi di Marina Romiti, Laura Vigni, Mauro Civai",Siena,Comune di Siena,,,2000,"158 p., 16 c. di tav. : ill. ; 24 cm",016.36273094581,Archivio Comunale di Siena - Archivio Orfanotrofio San Marco - Inventari;,
589,1956.03,LIBRO,Le sale della mostra e il museo delle tavolette dipinte catalogo,,Archivio di Stato di Siena,,Siena,Tipografia La Galluzza,Ministero dell'Interno,Pubblicazione degli Archivi di Stato XXIII,1956,163 p. : ill. ; 24 cm,907.4,Archivio di Stato di Siena,
258,1965.01,LIBRO,Le pergamene borghesi conservate nell'archivio privato Sergardi - Biringucci,,Ubaldo Morandi,,,Istituto Poligrafico dello Stato - Libreria dello Stato,,,1965,16 p. ; 24 cm,,Archivio Sergardi Biringucci - Pergamene,"Estratto da ""Rassegna degli archivi di  Stato"" anno XXV - numero 1 gennaio - aprile 1965. Dono del seggio 2014"
1832,1908.04,LIBRO,Lettera pastorale al clero e al popolo dell’Arcidiocesi di Siena per la quaresima del 1908,Mons. Benedetto Tommasi,,,Siena,Tip. Pontificia S. Bernardino,,,1908,37 p. ; 24 cm,252.62 ,Arcidiocesi di Siena,
1798,2005.26,LIBRO,La mitra e il calamo : il sistema documentario della Chiesa senese in età pretridentina : secoli 14.-16.,,Giuseppe Chironi,,Siena,Accademia senese degli Intronati,,Monografie di storia e letteratura senese ; 0013,2005,395 p. : ill. ; 24 cm,282.4558,Arcidiocesi di Siena  - Fonti archivistiche,"Catalogo della mostra tenuta a Palazzo Squarcialupi, Santa Maria della Scala, 24 novembre 2005 - 5 marzo 2006"
360,1992.03,LIBRO,Identità di una diocesi,"indagine nel territorio della diocesi sulla partecipazione alla messa festiva, 14-15 novembre 1992",Arcidiocesi di Siena-Colle di Val d’Elsa-Montalcino,,Siena,,Arcivescovo di Siena S.E. Mons. Gaetano Bonicelli,,1992,177 p. : ill. ; 25 cm,282.45558,"Arcidiocesi di Siena, Colle Val d'Elsa e Montalcino","Della Serie : Chiesa in cammino ; 2, 1994"
1595,1971.07,LIBRO,Ventesimo anniversario di Argelide Periccioli,29 maggio 1951 - 29 maggio 1971,,,Siena,Tipo. U. Periccioli,,,1971,37 p. ; 21 cm,,Argelide Periccioli,
1066,1998.18,LIBRO,Alte Waffen - MilitarischenWaffen Varia,Auktion.13,Casa d' Aste Czerny,,Trento,Casa d' Aste Czerny,,,1998,242 p.  : ill. ; 26 cm,751.220294,Armi antiche - Cataloghi,
1585,1975.06,LIBRO,Armi bianche italiane,,"Lionello G. Boccia , Eduardo T. Coelho",,Milano,Bramante Editrice,,,1975,462 p. : in gran parte ill. ; 32 cm,739.7,Armi e armature,
183,1994.02,LIBRO,Panis Vivus,Arredi e testimonianze figurative del culto eucaristico dal VI al XIX secolo,Cecilia Alessi,Laura Martini,Siena,Protagon editori toscana,Ministero per i beni culturali e ambientali,,1994,269 p. : ill. ; 26 cm,747.865094558,Arredi  sacri - Esposizioni,Riedizione del testo pubblicato nel 1926.
205,1998.02,LIBRO,Di Siena del Palio e d'altre storie,Biografia e Bibliografia degli Scritti di Arrigo Pecchioli,Oliveto Luigi,Barzanti Roberto,Siena,"Accademia Senese degli Intronati, Editrice il Leccio",,,1997,"p. 537-602, I-XV : Ill.: 1 ritr ; 24 cm",016.852912,Arrigo Pecchioli  - Bibliografia,
677,2002.12,LIBRO,Dictionnaire des aquarellistes avignonnais du XX siècle,,Mérindol Raphael,,Bologna,Grafiche Zanini,Les Amis du Palais du Roure,,2002,211 p. : ill. ; 30 cm,,Arte,
1717,1933.06,LIBRO,L'Arte Senese,Volume secondo,Douglas Langton,,Siena,Libreria editrice senese,,,1933,234 p. ; 26 cm,709.4558,Arte,"Sul recto del foglio di guardia: Volume secondo: L’arte senese
Mezza legatura in pergamena e carta decorata; sul dorso, tondo e liscio, tassello di pelle nera con autore e titolo impressi in oro"
1168,2011.13,LIBRO,Importanti arredi e dipinti antichi provenienti da una residenza senese e altre committenze private,,Franco Farsetti,,Prato,Farsetti Arte - Casa d'Aste dal 1955,,,2011,68 p.  : ill. ;  28 cm,759.3,Arte - Arredi,"Atti della giornata di studio, Archivio di Stato, 28 febbraio 2008"
