id,codice_archivio,tipologia,titolo,sottotitolo,prima_responsabilita,altre_responsabilita,luogo,edizione,ente,serie,anno,descrizione,cdd,soggetto,note
2123,PER.ACC.2018.2,PERIODICO,Accademia dei Rozzi,,Accademia dei Rozzi,"(Naoki Dan, Laura Perrini, Fabio Sottili, Paolo Neri, Alberto Fiorini, Gian Paolo Franceschini, Angelo Biondi, Ettore Pellegrini)",Monteriggioni (SI),Industria Grafica Pistolesi,,Anno XXV/2 n. 48,2018,120 p. : ill. ; 34 cm,945.581005,Siena - Cultura - Periodici,
2124,PER.LAC.1956.1,PERIODICO,Bollettino della Società Senese degli Amici dei Monumenti,La casa della Sapienza,Amici dei Monumenti,,Siena,,,,1956,72 p. : ill. ; 34 cm,945.581005,Siena - Cultura - Periodici,
2125,PER.LAC.1957.1,PERIODICO,Bollettino della Società Senese degli Amici dei Monumenti,La magione del Tempio,Amici dei Monumenti,,Siena,,,,1957,57 p. : ill. ; 34 cm,945.581005,Siena - Cultura - Periodici,
2126,PER.LAC.1958.1,PERIODICO,Bollettino della Società Senese degli Amici dei Monumenti,Nel quinto centenario Pontificato di Pio II° e della Canonizzazione di S. Caterina,Amici dei Monumenti,,Siena,,,,1958,113 p. : ill. ; 34 cm,945.581005,Siena - Cultura - Periodici,
719,PER.ACC.1997.1,PERIODICO,Accademia dei Rozzi,,Accademia dei Rozzi,"Bonicelli Gaetano, Bicci Maria Francesca, Piccinni Gabriella,  Mazzeo Antonio",Siena,Industria Grafica Pistolesi,Accademia dei Rozzi,Anno IV - N° 5 Maggio - Giugno 1997,1997,24 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,"In questo numero sono presenti i seguenti articoli:
1) Tre rari opuscoli settecenteschi sulla storia dei Rozzi. Un'accesa polemica tra Giovanni Antonio Pecci e Giuseppe Fabiani
2) Una fornace medioevale ad Asciano
3) L'importante è apparire. Le leggi suntuarie a Siena e la loro funzione
4) Una ""comparsa"" marina per Bianca Cappello
5) Dal ministro al custode. Quasi un secolo di Comunale"
720,PER.ACC.1997.2,PERIODICO,Accademia dei Rozzi,,Accademia dei Rozzi,"Pellegrini Ettore, Maccherini Giovanni, Lugarini Renato, Bicci Maria Francesca, De Gregorio Mario",Monteriggioni (Si),Industria Grafica Pistolesi,Accademia dei Rozzi,Anno IV - N° 6   Dicembre 1997,1997,28 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,"In questo numero sono presenti i seguenti articoli:
1) Un medico umanista del Cinquecento: Pietro Andrea Mattioli
2) Un caso di ""politico vivere"" a Siena tra Quattro e Cinquecento: i Martinozzi, signori di Montelifré
3) Donne, giudei e monaci a Talamone nel Medioevo
4) Monumenti di carta. Gli apparati effimeri nelle Feste senesi del XVI secolo
5) Come se o com' esse'?
6) Giuseppe Porri: elogio all' oblio
7) Il tenore senese Gino Giovannelli Gotti. Un ""Rozzo"" nel firmamento della lirica
8) La Siena di Fabio Chigi. Intervista ad Alessandro Angelini
9) Dopo Simone arriva Duccio. Una nuova monografia di Enzo Carli sul pittore senese"
232,PER.ACC.1998.1,PERIODICO,Accademia dei Rozzi,,Accademia dei Rozzi,"Catoni Giuliano, Pertici Petra, Sordini Beatrice, Bicci Maria Francesca, stanghellini Menotti, De Gregorio Mario, Mazzeo Antonio, Ptrioli Piergiacomo, Pierini Marco",Monteriggioni (Si),Industria Grafica Pistolesi,Accademia dei Rozzi,Anno V - N° 9   Dicembre 1998,1998,24 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,"In questo numero sono presenti i seguenti articoli:
1) Arcirozzo dell'Accademia dei Rozzi
2) Sindaco del Comune di Siena
3) Il Teatro dei Rozzi
4) Come è rinato il Teatro dei Rozzi
4) Dove si faceva la lana. Documenti inediti sull'acquisizione da parte dell'Accademia dei Rozzi dell'edificio che ospita il Teatro
5) Gestire il sogno
6) Il Saloncino dei Rozzi
7 La decima Musa al Teatro dei Rozz
8) ""La vaga sala"". Breve racconto delle vicende costruttive
9) Poltrona stampa. Ricordi del Teatro dei Rozzi"
721,PER.ACC.1998.2,PERIODICO,Accademia dei Rozzi,,Accademia dei Rozzi,"Cresti Giovanni, Piccini Perluigi, Romiti Marina, Bianchini Massimo, Bicci Maria Francesca, De Gregorio Mario, Jacona Erminio, Mazzeo Antonio, Pierini Marco, Verdone Mario",Monteriggioni (Si),Industria Grafica Pistolesi,Accademia dei Rozzi,Anno IV - N° 7  Maggio 1998,1998,32 p. : ill. ; 30cm.,945.581005,Siena - Cultura - Periodici,"In questo numero sono presenti i seguenti articoli:
1) Un ammiraglio al servizio della Repubblica di Siena
2) Alcune mascherate barocche dell'Accademia dei Rozzi dal 1680 al 1700
3) La orribil scossa della vigilia di Pentecoste. Siena e il terremoto del 26 maggio 1798
4) Siena e i suoi terremoti. A colloquio con padre Vittorio Benucci dell'Osservatorio dei Cappuccini
5) Proclama ai Toscani
6) La memoria di una città. Pubblicato l'inventario dell'Archivio del Comune di Siena
7) Attività dell' Accademia"
722,PER.ACC.1998.3,PERIODICO,Accademia dei Rozzi,,Accademia dei Rozzi,"Pellegrini Ettore, Bicci Maria Francesca, Gennari Marina, Mucciarelli Roberta, Maccherini Giovanni, Balestracci Duccio",Monteriggioni (Si),Industria Grafica Pistolesi,Accademia dei Rozzi,Anno IV - N° 8  Settembre - Ottobre 1998,1998,28 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,
231,PER.ACC.2003.1,RIVISTA,Accademia dei Rozzi,,Accademia dei Rozzi,"Barzanti Roberto, Maccherini Giovanni, Bianciardi Martinelli Patrizia, Pellegrini Ettore, Stanghellini Menotti, Balocchi Enzo,",Monteriggioni (Si),Industria Grafica Pistolesi,,,2003,48 p. : ill. 30cm.,945.581005,Siena - Cultura - Periodici,"In questo numero sono presenti i seguenti articoli: 
1) Siena e le origini. Dal mito alla storia
2) Siena: dal castrum romano al burgus altomedievale
3) L'individuazione della Siena romana ed altomedievale: considerazioni e nuove ipotesi
4) Lo scavo archeologico nel santa Maria della Scala
5) Scoperte architettoniche e figurative nel Duomo di Siena
6) Nuovi dipinti murali nella cripta di Siena"
